"Quantity","Value","Name","DigiKey","RefDes"
"4","10u","X5R_6.3V_20%_0603_10u","490-6405-1-ND","C1, C6, C7, C8"
"1","560PF 50V ","GRM188R71H561KA01D","","C2"
"3","22UF 16V","GRM21BC81C226ME44K","490-GRM21BC81C226ME44KCT-ND","C3, C4, C18"
"2","4.7u 10V","X5R_10V_10%_0603_4.7u","1276-1044-1-ND","C5, C21"
"5","1u","X5R_35V_10%_0603_1u","1276-1861-1-ND","C9, C10, C11, C12, C15"
"1","2.2u 16v","X7R_16V_20%_0603_2.2u","587-4864-1-ND","C14"
"1","10p","NP0_16v_10%_0402_10p","478-12649-1-ND","C16"
"3","100n","X7R_25V_10%_0603_100n","478-7018-1-ND","C17, C19, C20"
"1","40V 550mV@1A","MBRM140T3G","MBRM140T3GOSCT-ND","D1"
"1","100R@100Mhz 1A","MPZ1608D101BTD25","445-MPZ1608D101BTD25CT-ND","FB1"
"1","","MOLEX_2171820001","900-2171820001CT-ND","J1"
"1","","M50-3630242","952-3606-ND","J4"
"1","","90131-0121","","J5"
"1","68uH 750mA","SRR6040A-680M","SRR6040A-680MCT-ND","L1"
"1","2.2UH 5.5A","ASPI-0530HI-2R2M-T2","535-ASPI-0530HI-2R2M-T2CT-ND","L2"
"2","5.1K","RC0603FR-075K1L","311-5.10KHRCT-ND","R1, R2"
"1","93.1K","RC0603FR-0793K1L","311-93.1KHRCT-ND","R5"
"2","10k 1%","1%_.25W_0603_10k","541-10.0KSCT-ND","R6, R7"
"2","100k 1%","1%_.25W_0603_100k","RHM100KADCT-ND","R8, R10"
"1","348K 1%","RC0603FR-07348KL","311-348KHRCT-ND","R9"
"1","30R 1%","RC0603FR-0730RL","311-30.0HRCT-ND","R11"
"1","10R","5%_.25W_0603_10R","RHM10DCT-ND","R12"
"2","10k","5%_.25W_0603_10k","RHM10KDCT-ND","R14, R15"
"1","","EVQ-P2602W","P12301SCT-ND","S1"
"1","","ESP32-S3-WROOM-1U-N8R8","1965-ESP32-S3-WROOM-1U-N8R8CT-ND","U1"
"1","","NCR321ZX","1727-8461-1-ND","U2"
"1","1v2","NCP114ASN120T1G","NCP114ASN120T1GOSCT-ND","U3"
"1","2v8","NCP114ASN280T1G","NCP114ASN280T1GOSCT-ND","U4"
"1","","TLV62569DBVT","296-47386-1-ND","U5"
"1","","LM2735YMY/NOPB","LM2735YMY/NOPBCT-ND","U6"
"1","","D1213A-02WLQ-7","31-D1213A-02WLQ-7CT-ND","U7"
